user,path,time,force_input_raw_y,force_input_raw_x,ppi,robot_pose_z,robotrainer_deviation_left,robot_pose_y,output_data_linear_z,velocity_output_angular_z,output_data_linear_x,virtual_force_resulting_force_y,virtual_force_resulting_force_x,output_data_angular_y,output_data_angular_z,hrv,heart_rate,virtual_force_position_x,virtual_force_position_y,virtual_force_velocity_out_y,virtual_force_velocity_out_x,force_input_scaled_limited_y,force_input_scaled_limited_x,torque_input_scaled_limited_z,path_index_left,path_index_front,virtual_force_resulting_velocity_x,virtual_force_resulting_velocity_y,virtual_force_velocity_in_y,virtual_force_velocity_in_x,ppg_ch1,velocity_output_linear_x,velocity_output_linear_y,ppg_ch2,torque_input_raw_z,ppg_ch0,robotrainer_deviation_right,path_index_right,ppg_ch3,robotrainer_deviation_front,robot_pose_x,total_duration,age_x,age_y,gender
5,20,4.0,-3.2868745539654443,49.168073513572665,730.1307692307691,-0.32019290994633326,0.32292890157114446,10.57128861823,300.85509243312225,-0.010417368105733312,48.90550875914811,-0.12259955660102917,-0.10361443566837161,-7.122766841946445,-7.951218311782889,,30.0,-0.4858994115334332,10.563266533842006,-0.1150458164736454,0.7846523198556281,-0.03261238710292777,0.4327777781862422,-0.10626299455561111,,,-0.08441473800815101,-0.09606083780196963,-0.0704221359167528,0.8536417886361415,,0.7854423475365555,-0.11442565698746668,,-8.006400123339334,,0.7860409998802222,,,0.35925526231023336,-0.4937771464256666,9.87593102455,39.0,39.0,Weiblich
6,1,5.5,4.511202208607833,34.587018353891665,,2.8897372479625,0.40707048951025,10.018970360104166,156.66204963411667,-0.007336946166046669,34.514841346191666,-0.29530667371906993,-0.0252776532378427,-3.9538455917915836,0.5852290560100252,,66.0,0.658274444798914,9.695959431893469,-0.04276717363084472,0.62235815846923,0.04477058656045,0.34578010204400006,0.013116618035173333,,,-0.020236149048696084,-0.23595589673278486,0.09160206896010496,0.6343586470191255,,0.6218987039468333,-0.04294292340778833,,0.5866764233290834,,0.5661193937519167,,,0.03615189544281667,-0.02193702441708334,12.7696344852,24.0,24.0,Weiblich
6,2,5.0,4.187650080511182,38.50849421247818,1427.4333333333334,1.2100271576078183,0.2928413116120636,10.231206523098182,232.86199722068184,0.0013244458092245433,38.47745513249409,-0.4391798710262921,-0.08498614010317847,-6.027553713590819,2.0540327504838185,,30.0,0.5175212084924635,9.824773080399229,-0.1239275112836565,0.6407719588513044,0.04201910273236909,0.37677062250017274,0.035148510706018175,,,-0.06840389639111943,-0.3506796125908969,0.08563505164556584,0.6835957913135274,,0.6407719588512727,-0.12392751128363727,,2.1187753325576364,,0.7424880837147273,,,0.11138658025858182,-0.004800678145627246,11.860899686799998,24.0,24.0,Weiblich
6,3,6.0,7.974717474783308,35.02787651318692,,1.191819034775077,0.3183944129406923,10.26673970083,221.3768739673,-0.008885971120035384,34.96817180063154,-0.6593853967417601,-0.13174837643160695,-5.553815191221846,-0.08306160471537688,,,0.2716925514598817,9.951224306279602,-0.11929910267052611,0.5770489491111837,0.07753288267588845,0.3608819697017739,0.012016579005026921,,,-0.10574201639406196,-0.5279153513438367,0.15346511299060908,0.6318251308860936,,0.5770489491111769,-0.11929910267040769,,-0.04279329609811558,,0.7984165683853846,,,0.16409713380446153,0.06575014823360768,13.5139219761,24.0,24.0,Weiblich
6,4,4.5,0.4082902068419999,43.97893425332,,2.804995776222,0.46109286732239996,9.928475749229,196.233346616,-0.01151608629175134,43.97350372691,,,-5.094150388786,0.3913615689281001,,,,,,,0.00299254727624,0.4397856965143,0.014089578605280002,,,,,,,,0.7873498007194,0.013353746208154998,,0.4194273077392401,,0.5183704935364,,,0.0547090818063,0.037629133497500036,10.2771763802,24.0,24.0,Weiblich
6,5,5.5,0.5837619680514333,36.9683546080075,1008.4666666666667,2.7179446373166667,0.6271057963250833,9.7630931486775,238.24516189883332,-0.008544851654525003,36.940729310853335,0.2801847760166169,-0.09103317489993844,-5.992762747346667,-0.08639125705400012,,98.0,0.23898995091587238,9.781115850417981,0.11640715784310433,0.6446964223523695,0.005899638820332666,0.3693091121346083,-0.011728527644013331,,,-0.07311347130151515,0.2241222903378306,0.012593881874531152,0.678960730300287,,0.6446964223523334,0.11640715784309168,,0.008413936058916735,,0.33153160956479166,,,0.05540487898202084,-0.08026264112633334,12.2265357971,24.0,24.0,Weiblich
6,6,4.5,-2.509606118997,41.44450088278,1321.1666666666667,2.657467460822,0.6473923728398,9.683134581617,297.7696269672,-0.018755401634753,41.47165623774,0.35835713220120374,-0.1327250627291732,-7.5722635916689995,0.9985952141347001,,98.0,0.5250172551936282,9.685109283440811,0.14638109909261604,0.7118532186340316,-0.02506267160345,0.410608934375,0.012696668064827004,,,-0.10685243403690274,0.2863213942405604,-0.018085155524454326,0.7724219952520017,,0.7120243974269,0.146502858742583,,0.9429911871899004,,0.31398175437342,,,0.07083214224882,0.052930187067299975,10.9891889095,24.0,24.0,Weiblich
6,7,4.5,-3.9740868801052,48.192234156728,1615.375,2.6936155276819997,0.6760923613692,9.653256719485999,271.89822535485,-0.002871234333282299,48.149255015023,0.5258615766723179,-0.15742230903062823,-6.965666752933001,0.3034135302178,,142.0,0.6236346198377555,9.669019477917404,0.13704110182683213,0.7585785291891913,-0.039129319381617,0.46023486701168004,-0.021743274894109998,,,-0.12720667228334084,0.4230464904857542,-0.06595194453733376,0.8205613009056096,,0.7585785291889,0.13704110182679,,0.24054208738190014,,0.35067092280374,,,0.106852373270407,0.07888457298912002,10.6278119087,24.0,24.0,Weiblich
6,8,7.0,1.7784967519378665,30.214940402451337,674.3796296296297,2.8368445022246664,0.45554006470813335,10.001108858769333,127.02613716804133,-0.023694510705402003,30.143855010727997,-0.07386896464290356,-0.056414594196505095,-3.0721060002988803,-0.6368896117667333,,142.0,-0.16536874350344416,9.999014492155764,0.027643998147076583,0.5161911059417893,0.01747295874752467,0.3020708452624866,0.00430297755642678,,,-0.04518630876270275,-0.05898019450737976,0.0659533159321211,0.5488570967401077,,0.5161911059418,0.027643998146957994,,-0.6446757874981038,,0.5095412976777334,,,0.0504527203765,-0.17082290141871997,15.4744677544,24.0,24.0,Weiblich
6,9,6.0,3.7380994783642305,36.420062185446156,1198.1,2.112328021234992,0.4176757103192,9.978885930219231,168.63155832796923,-0.037587571959955386,36.46288201850769,-0.11180833618228962,-0.11694303739572111,-4.181265529879308,-0.9722464021171,,135.0,0.012950671859265368,9.97865249032597,0.05449472340920148,0.5656188022348106,0.03740497293566923,0.36409821975623075,-0.007662492665401536,,,-0.09334616293323765,-0.09040630954974709,0.1107529894446204,0.6301743440270088,,0.5651787122603846,0.05414804518473847,,-0.8845313069427305,,0.5617023848650539,,,0.07961024141514847,0.013643477394461504,13.661984205199998,24.0,24.0,Weiblich
6,10,7.5,0.267168569795,27.89714273605875,818.3777777777777,1.7756281644175,0.5411381158842687,10.133772013360625,310.8957467070875,-0.02827292884244187,27.875465801706248,-0.08056958226843322,-0.05957178108887703,-7.6857134235575,-0.013746375747637568,,135.0,-0.3450510381903926,10.133289143104536,-0.003428447252086569,0.5111031429662123,0.0036385245827762524,0.28369279680756876,-0.029442687788955,,,-0.04798375125350309,-0.06470022945392424,0.04741542655481404,0.5443931426958619,,0.5111031429661875,-0.0034284472521237475,,-0.050358507304812505,,0.64803849614965,,,0.2990818673486225,-0.34654214885944,16.0300593376,24.0,24.0,Weiblich
6,11,30.0,1.2682580630540825,4.536843434914538,575.8608796296296,0.35802067015032946,0.21765984591705412,10.050586616019672,19.994980172767526,0.07444043805070075,4.546919034715676,,,0.04196210240254095,-1.9612316385223443,,126.0,,,,,0.009739573111778607,0.04284440918709951,-0.06534046097371213,,,,,,,,0.07025520991718018,0.019433634290169383,,-1.9613327642690752,,0.3256527822936393,,,0.4533131908416377,-0.022313442794885244,61.3524405956,24.0,24.0,Weiblich
